"client_tk","disp_bk","district_tk","total_amount","total_paid_finished","total_unpaid_finished","total_paid_unfinished","total_unpaid_unfinished"
"1262","24824","20","192552","0","1","0","0"
"5331","28893","44","314520","0","0","1","0"
"5141","28703","70","100224","0","0","0","1"
"4892","28454","56","276660","0","1","0","0"
"2155","25717","1","209040","0","0","1","0"
"2511","26073","9","53472","1","0","0","0"
"5083","28645","59","8616","0","0","1","0"
"5330","28892","13","197748","1","0","0","0"
"5171","28733","51","191580","0","0","1","0"
"5111","28673","74","230220","0","1","0","0"
"4748","28310","9","33348","1","0","0","0"
"5277","28839","36","31260","0","0","1","0"
"4764","28326","66","465072","0","0","1","0"
"5209","28771","74","104712","1","0","0","0"
"4586","28148","11","137904","0","1","0","0"
"5046","28608","51","42900","1","0","0","0"
"5037","28599","52","72120","1","0","0","0"
"5260","28822","39","215388","0","1","0","0"
"5152","28714","58","189300","0","0","1","0"
"5208","28770","31","104712","1","0","0","0"
"5158","28720","18","163332","0","0","1","0"
"4771","28333","52","141648","1","0","0","0"
"5124","28686","64","33984","0","0","1","0"
"4738","28300","56","61320","0","0","1","0"
"5221","28783","76","88200","0","0","1","0"
"5317","28879","75","45768","1","0","0","0"
"3944","27506","58","68664","0","0","1","0"
"5346","28908","59","108144","1","0","0","0"
"3599","27161","38","130896","0","0","1","0"
"3511","27073","1","15420","1","0","0","0"
"1436","24998","38","71064","1","0","0","0"
"3358","26920","10","272520","0","0","1","0"
"5196","28758","21","116832","1","0","0","0"
"2546","26108","19","182040","0","0","1","0"
"4993","28555","64","55368","1","0","0","0"
"5038","28600","52","72120","1","0","0","0"
"2342","25904","53","176328","0","0","1","0"
"5043","28605","70","97392","1","0","0","0"
"4417","27979","44","153936","0","0","1","0"
"5189","28751","59","44640","0","0","1","0"
"5107","28669","14","173016","0","0","1","0"
"5032","28594","38","20832","0","0","1","0"
"5109","28671","68","76680","1","0","0","0"
"5103","28665","23","74688","1","0","0","0"
"919","24481","69","215616","0","0","0","1"
"5338","28900","32","48096","0","0","1","0"
"4121","27683","72","161496","0","0","1","0"
"2304","25866","5","290820","0","0","1","0"
"1426","24988","65","99696","0","0","0","1"
"4786","28348","1","165168","0","0","1","0"
"43","23605","20","318480","0","0","0","1"
"5318","28880","76","31140","0","0","1","0"
"4804","28366","54","58764","0","0","1","0"
"4527","28089","54","84600","0","0","0","1"
"4939","28501","54","294384","0","0","1","0"
"5347","28909","59","108144","1","0","0","0"
"5207","28769","31","104712","1","0","0","0"
"5065","28627","37","155880","1","0","0","0"
"1805","25367","69","194256","0","0","1","0"
"5165","28727","72","29448","0","1","0","0"
"5072","28634","26","29784","1","0","0","0"
"2950","26512","60","89340","0","0","1","0"
"5023","28585","2","77544","0","0","1","0"
"2025","25587","28","30060","0","0","1","0"
"3","23565","1","80952","1","0","0","0"
"4995","28557","31","63312","1","0","0","0"
"1331","24893","11","149040","1","0","0","0"
"5216","28778","38","176148","0","0","1","0"
"5125","28687","1","74352","0","0","1","0"
"5190","28752","73","374760","0","0","1","0"
"4886","28448","50","141240","1","0","0","0"
"507","24069","29","84288","0","0","1","0"
"5211","28773","11","59448","0","0","1","0"
"3567","27129","14","321180","0","0","1","0"
"5368","28930","67","129408","1","0","0","0"
"5129","28691","62","76104","0","0","1","0"
"2373","25935","70","86184","1","0","0","0"
"5343","28905","37","119136","0","0","1","0"
"5007","28569","16","130464","0","0","1","0"
"4893","28455","1","5148","0","0","1","0"
"2610","26172","2","314688","0","0","1","0"
"976","24538","1","87216","0","0","1","0"
"257","23819","70","109344","0","0","1","0"
"4749","28311","77","87528","0","0","1","0"
"3389","26951","1","31248","1","0","0","0"
"1225","24787","52","253200","0","0","1","0"
"3420","26982","66","88608","0","0","1","0"
"4992","28554","19","110736","0","0","1","0"
"2668","26230","50","48312","0","0","1","0"
"1156","24718","45","204000","0","0","1","0"
"3894","27456","63","71820","0","0","1","0"
"4960","28522","36","475680","0","0","1","0"
"5313","28875","1","68832","0","0","1","0"
"363","23925","15","66840","0","0","1","0"
"5087","28649","77","89040","0","0","1","0"
"5235","28797","21","97632","1","0","0","0"
"4923","28485","50","150912","0","0","1","0"
"4717","28279","45","93960","0","0","1","0"
"2687","26249","18","159744","0","0","1","0"
"5282","28844","55","21924","1","0","0","0"
"5356","28918","15","52788","1","0","0","0"
"4927","28489","4","76908","0","1","0","0"
"5344","28906","16","98304","1","0","0","0"
"5315","28877","72","45768","1","0","0","0"
"574","24136","13","262980","0","0","1","0"
"5349","28911","75","182628","1","0","0","0"
"5090","28652","48","7656","1","0","0","0"
"2577","26139","1","415800","0","0","1","0"
"4796","28358","72","53232","0","0","1","0"
"5186","28748","1","120888","1","0","0","0"
"4495","28057","27","107352","0","0","1","0"
"4968","28530","57","194160","0","0","1","0"
"4756","28318","73","168264","0","0","1","0"
"2558","26120","31","92976","1","0","0","0"
"4602","28164","50","100800","0","0","0","1"
"4888","28450","57","61056","1","0","0","0"
"4778","28340","50","143904","1","0","0","0"
"602","24164","70","210384","0","0","1","0"
"5003","28565","43","41952","1","0","0","0"
"818","24380","1","76944","1","0","0","0"
"5071","28633","48","238716","0","0","1","0"
"351","23913","71","112752","0","0","1","0"
"150","23712","40","88440","1","0","0","0"
"4860","28422","10","98592","1","0","0","0"
"5156","28718","9","52236","0","0","1","0"
"4706","28268","62","192744","0","0","1","0"
"4688","28250","74","221280","0","0","1","0"
"4871","28433","74","232560","0","0","1","0"
"4896","28458","19","407952","0","0","0","1"
"5168","28730","29","82128","0","0","1","0"
"4697","28259","1","87816","1","0","0","0"
"5259","28821","55","121896","1","0","0","0"
"5004","28566","56","12792","0","0","1","0"
"4847","28409","43","32640","0","0","1","0"
"3881","27443","12","40632","0","0","1","0"
"5051","28613","9","144960","0","0","1","0"
"5049","28611","55","71460","1","0","0","0"
"4335","27897","7","63252","1","0","0","0"
"5102","28664","70","42840","1","0","0","0"
"5078","28640","50","36204","0","0","0","1"
"4933","28495","38","212400","1","0","0","0"
"4919","28481","70","36684","1","0","0","0"
"4836","28398","66","368880","0","0","1","0"
"3624","27186","59","177744","0","0","0","1"
"5246","28808","8","194940","0","0","1","0"
"4368","27930","54","23052","1","0","0","0"
"4670","28232","38","327660","0","0","1","0"
"5174","28736","74","285240","0","0","1","0"
"5316","28878","75","45768","1","0","0","0"
"5161","28723","56","272220","0","0","1","0"
"4720","28282","24","15192","1","0","0","0"
"489","24051","60","252060","0","0","0","1"
"5059","28621","31","208320","1","0","0","0"
"5145","28707","47","50112","0","0","1","0"
"4782","28344","54","179328","0","0","1","0"
"5200","28762","1","228276","0","0","1","0"
"5273","28835","14","421008","0","0","1","0"
"4402","27964","1","74916","0","0","1","0"
"5105","28667","54","93036","0","0","1","0"
"5128","28690","1","125340","0","0","1","0"
"4853","28415","15","44376","1","0","0","0"
"4802","28364","68","57060","0","0","1","0"
"1949","25511","68","141948","0","0","1","0"
"5214","28776","1","76416","1","0","0","0"
"5040","28602","23","79344","0","0","1","0"
